Song,Artist,Compound,Negitive,Neutral,Positive
Desire,Noa,0.8797,0.088,0.739,0.173
Dreamer,Noa,-0.8919,0.135,0.773,0.092
Drive My Car,Noa,0.9819,0.0,0.812,0.188
El Ha Mayaan,Noa,0.9989,0.011,0.82,0.168
Explain The Night,Noa,0.8555,0.089,0.8,0.111
Eye In The Sky,Noa,-0.9726,0.184,0.74,0.076
Eye Opener (Pokeach),Noa,0.0,0.0,1.0,0.0
Follow Your Heart,Noa,0.874,0.092,0.747,0.161
For Father,Noa,0.979,0.0,0.86,0.14
Hawk And Sparrow,Noa,-0.9484,0.21,0.651,0.14
Heart And Head,Noa,0.9876,0.022,0.774,0.203
Hi,Noa,0.0,0.0,1.0,0.0
Homemade Religion,Noa,0.9918,0.041,0.73,0.229
I Don't Know,Noa,0.9946,0.023,0.818,0.158
I Will,Noa,0.9911,0.023,0.692,0.285
If I Give You Everything,Noa,0.7469,0.053,0.876,0.072
If Not You (Im Ein At),Noa,-0.6771,0.146,0.742,0.113
Ilanot,Noa,0.0,0.0,1.0,0.0
Imagination,Noa,0.8934,0.025,0.804,0.171
It's Obvious,Noa,0.9768,0.032,0.75,0.217
Lama,Noa,0.9756,0.105,0.673,0.221
Lavandeira Da Noite,Noa,-0.5349,0.04,0.96,0.0
Manhattan - Tel Aviv,Noa,-0.9493,0.128,0.855,0.017
Missing Your Heart,Noa,-0.9687,0.137,0.821,0.041
Nisayon,Noa,0.9807,0.066,0.709,0.225
"Oh, My God!",Noa,0.8457,0.026,0.876,0.098
Santa Lucia Luntana,Noa,-0.6402,0.04,0.96,0.0
She Went To The River,Noa,-0.8121,0.061,0.905,0.034
Space,Noa,-0.9972,0.281,0.719,0.0
Terminal (Bonus Track),Noa,0.9788,0.072,0.775,0.153
The Eyes Of Love,Noa,0.9899,0.04,0.772,0.188
Un Discorso In Generale,Noa,-0.9344,0.054,0.94,0.006
U.N.I.,Noa,-0.6072,0.084,0.823,0.093
Worry Doll,Noa,-0.7323,0.191,0.645,0.164
You Are Too Beautiful,Noa,0.9772,0.132,0.564,0.304
You're Far Away From Me,Noa,0.6974,0.057,0.851,0.092
99 Red Balloons,NOFX,0.9022,0.072,0.812,0.116
A200 Club,NOFX,-0.9297,0.135,0.851,0.014
All His Suits Are Torn,NOFX,-0.9083,0.166,0.772,0.062
All My Friends In New York,NOFX,0.8967,0.019,0.878,0.103
All Outta Angst,NOFX,-0.9761,0.232,0.674,0.093
American Errorist,NOFX,-0.9408,0.265,0.627,0.108
Anarchy Camp,NOFX,-0.9585,0.123,0.831,0.046
Bath Of Least Resistance,NOFX,0.755,0.028,0.89,0.082
Brain Constipation,NOFX,-0.8903,0.145,0.816,0.04
Clams Have Feelings Too,NOFX,-0.982,0.215,0.724,0.061
Concerns Of A Gop Neo-Phyte (Wrong Version),NOFX,-0.9746,0.168,0.769,0.063
Creeping Out Sara,NOFX,0.902,0.045,0.844,0.112
Decom-Poseur,NOFX,0.8764,0.128,0.658,0.214
Down With The Ship,NOFX,-0.734,0.133,0.758,0.108
Drugs Are Good,NOFX,-0.304,0.131,0.727,0.143
First Call,NOFX,-0.2671,0.1,0.81,0.09
Five Feet Under,NOFX,-0.9439,0.213,0.677,0.11
Germ Free Adolescents,NOFX,0.2363,0.109,0.755,0.136
Gin And Juice,NOFX,-0.996,0.15,0.807,0.043
Hardcore 84,NOFX,-0.9988,0.548,0.354,0.098
Here Comes The Neighborhood,NOFX,-0.7476,0.072,0.849,0.078
Herojuana,NOFX,-0.4665,0.153,0.703,0.144
Hit It,NOFX,-0.9444,0.282,0.552,0.166
Hobophobic,NOFX,-0.9313,0.186,0.814,0.0
Hotdog In A Hallway,NOFX,0.9834,0.028,0.747,0.225
I Am An Alcoholic,NOFX,0.9878,0.059,0.718,0.223
I Am Going To Hell For This One,NOFX,-0.9372,0.174,0.746,0.081
I Don't Want You Around,NOFX,0.9522,0.09,0.749,0.161
"I, Fatty",NOFX,-0.2593,0.125,0.793,0.082
"I, Melvin",NOFX,0.0772,0.144,0.709,0.147
I Wanna Be Your Baby,NOFX,0.6679,0.009,0.919,0.072
I Want You To Want Me,NOFX,0.9884,0.067,0.717,0.216
Id,NOFX,-0.8284,0.125,0.832,0.043
Idiots Are Taking Over,NOFX,-0.8807,0.135,0.767,0.098
I'm The One,NOFX,-0.5109,0.19,0.652,0.158
Iron Man,NOFX,-0.8674,0.177,0.704,0.119
It's My Job To Keep Punk Rock Elite,NOFX,0.0772,0.079,0.839,0.083
Jamaica's Alright If You Like Homophobes,NOFX,0.91,0.073,0.663,0.264
Jaundiced Eye,NOFX,0.1588,0.182,0.625,0.192
"Jaw, Knee, Music",NOFX,-0.906,0.132,0.798,0.07
Johnny Appleseed,NOFX,0.9826,0.0,0.785,0.215
Just The Flu,NOFX,-0.9814,0.247,0.687,0.067
Life O'riley,NOFX,0.8395,0.053,0.834,0.113
Live Your Life,NOFX,0.4678,0.129,0.731,0.14
Liza,NOFX,-0.9053,0.13,0.806,0.064
Liza And Louise,NOFX,0.9708,0.017,0.844,0.139
Louise,NOFX,0.5905,0.154,0.684,0.162
Love Story,NOFX,0.2396,0.063,0.862,0.075
Medio-Core,NOFX,-0.907,0.192,0.661,0.146
Monosyllabic Girl,NOFX,0.9153,0.0,0.831,0.169
Mr. Jones,NOFX,-0.4404,0.028,0.972,0.0
Murder The Government,NOFX,-0.9889,0.297,0.569,0.134
My Name Is Bud,NOFX,-0.7579,0.092,0.908,0.0
My Orphan Year,NOFX,-0.964,0.179,0.729,0.091
My Party Boots,NOFX,-0.9945,0.245,0.659,0.096
My Sycophant Others,NOFX,0.9424,0.121,0.686,0.193
Nowhere,NOFX,-0.9535,0.181,0.769,0.05
Olive Me,NOFX,-0.3094,0.104,0.802,0.094
One Way Ticket To Fuckneckville,NOFX,0.7033,0.096,0.781,0.122
Perfect Government,NOFX,-0.6568,0.154,0.708,0.137
Pharmacists Daughter,NOFX,0.9857,0.008,0.777,0.214
Please Play This Song On The Radio,NOFX,0.9959,0.043,0.675,0.282
Professional Crastination,NOFX,0.8767,0.0,0.933,0.067
Reeko,NOFX,-0.3686,0.102,0.822,0.076
Release The Hostages,NOFX,0.2768,0.203,0.593,0.204
San Francisco Fat,NOFX,0.7436,0.107,0.722,0.17
She's Nubs,NOFX,0.9416,0.096,0.778,0.127
Shut Up Already,NOFX,-0.947,0.225,0.686,0.089
Stickin In My Eye,NOFX,-0.828,0.136,0.783,0.081
Straight Edge,NOFX,0.8507,0.125,0.673,0.201
Suits And Ladders,NOFX,-0.9618,0.101,0.892,0.007
4 Broken Hearts,Norah Jones,0.5267,0.063,0.856,0.081
Above Ground,Norah Jones,0.7047,0.015,0.916,0.069
All A Dream,Norah Jones,-0.9572,0.222,0.628,0.15
American Anthem,Norah Jones,0.9852,0.073,0.741,0.185
Are You Lonesome Tonight,Norah Jones,-0.7319,0.173,0.728,0.099
At Last,Norah Jones,0.9702,0.023,0.74,0.237
Back To Manhattan,Norah Jones,-0.2382,0.016,0.984,0.0
Be Here To Love Me,Norah Jones,0.9797,0.083,0.729,0.188
Beatiful,Norah Jones,0.9441,0.14,0.678,0.183
Butterflies,Norah Jones,0.508,0.029,0.892,0.078
Chasing Pirates,Norah Jones,-0.782,0.078,0.886,0.036
Cold Cold Heart,Norah Jones,0.3244,0.111,0.77,0.119
Come Away With Me,Norah Jones,0.1635,0.063,0.852,0.085
Crazy,Norah Jones,-0.9705,0.337,0.512,0.152
Day Breaks,Norah Jones,0.8873,0.064,0.821,0.114
Deceptively Yours,Norah Jones,0.5978,0.085,0.815,0.1
Don't Be Denied,Norah Jones,0.9949,0.033,0.713,0.255
Don't Miss You At All,Norah Jones,0.891,0.032,0.807,0.161
I Turned Your Picture To The Wall,Norah Jones,0.2668,0.038,0.916,0.047
I've Got To See You Again,Norah Jones,-0.9304,0.129,0.838,0.033
Love,Norah Jones,-0.661,0.151,0.731,0.118
Love Me Tender,Norah Jones,0.9986,0.0,0.413,0.587
Man Of The Hour,Norah Jones,0.8751,0.03,0.877,0.093
Miriam,Norah Jones,0.9639,0.141,0.625,0.234
Moon Song,Norah Jones,0.2263,0.0,0.976,0.024
More Than This,Norah Jones,0.1048,0.1,0.81,0.09
Nightingale,Norah Jones,0.9054,0.0,0.916,0.084
No Easy Way Down,Norah Jones,0.9794,0.143,0.645,0.212
Not My Friend,Norah Jones,0.576,0.14,0.658,0.202
Not Too Late,Norah Jones,0.9896,0.046,0.668,0.286
Once I Had A Laugh,Norah Jones,0.9822,0.018,0.663,0.319
One Flight Down,Norah Jones,-0.5106,0.091,0.838,0.071
Out On The Road,Norah Jones,0.9817,0.026,0.839,0.135
Painter Song,Norah Jones,0.1901,0.0,0.979,0.021
Rosie's Lullaby,Norah Jones,0.8569,0.014,0.883,0.103
Ruler Of My Heart,Norah Jones,-0.9186,0.245,0.64,0.115
Say Goodbye,Norah Jones,0.9877,0.063,0.688,0.249
Seven Years,Norah Jones,0.9653,0.043,0.686,0.271
Shiver,Norah Jones,0.993,0.031,0.784,0.185
Shoot The Moon,Norah Jones,-0.7906,0.116,0.837,0.047
Sleepless Nights,Norah Jones,0.9902,0.045,0.699,0.257
Something Is Calling You,Norah Jones,-0.3094,0.024,0.976,0.0
Tell Your Mama,Norah Jones,-0.9816,0.338,0.609,0.053
The Nearness Of You,Norah Jones,0.8186,0.088,0.75,0.162
Things You Don't Have To Do,Norah Jones,0.7952,0.08,0.81,0.11
Thinking About You,Norah Jones,0.9553,0.0,0.839,0.161
Those Sweet Words,Norah Jones,0.9888,0.032,0.726,0.242
Wait,Norah Jones,0.3728,0.052,0.879,0.069
Why Can't He Be You,Norah Jones,0.9985,0.008,0.679,0.313
Young Blood,Norah Jones,-0.9732,0.165,0.771,0.064
You've Ruined Me,Norah Jones,-0.9906,0.282,0.604,0.115
Another,Notorious B.I.G.,-0.9994,0.266,0.66,0.074
Big Poppa,Notorious B.I.G.,0.9984,0.078,0.738,0.185
Can I Get Witcha,Notorious B.I.G.,-0.9406,0.063,0.895,0.042
Can't You See,Notorious B.I.G.,0.9786,0.052,0.837,0.111
Friend Of Mine,Notorious B.I.G.,-0.9773,0.145,0.753,0.102
Get Money,Notorious B.I.G.,-0.9987,0.223,0.729,0.048
Going Back To Cali,Notorious B.I.G.,-0.944,0.1,0.837,0.063
Hold Ya Head,Notorious B.I.G.,-0.9952,0.241,0.659,0.1
I Love The Dough,Notorious B.I.G.,0.9976,0.102,0.716,0.182
Miss You,Notorious B.I.G.,-0.9936,0.158,0.786,0.056
Mo Money Mo Problems,Notorious B.I.G.,0.994,0.103,0.713,0.184
Ms. Wallace (Outro),Notorious B.I.G.,0.9973,0.057,0.737,0.207
Nasty Boy,Notorious B.I.G.,-0.9978,0.184,0.721,0.095
Niggas,Notorious B.I.G.,-0.9928,0.111,0.856,0.033
Notorious B.I.G.,Notorious B.I.G.,-0.9996,0.322,0.57,0.108
Ready To Die,Notorious B.I.G.,-0.9932,0.174,0.705,0.122
Ten Crack Commandments,Notorious B.I.G.,-0.9974,0.2,0.722,0.078
The Greatest Rapper,Notorious B.I.G.,-0.9256,0.231,0.615,0.154
Wake Up,Notorious B.I.G.,-0.9968,0.285,0.614,0.101
Whatchu Want,Notorious B.I.G.,-0.9727,0.131,0.727,0.142
Who Shot Ya,Notorious B.I.G.,-0.9859,0.114,0.827,0.059
Would You Die For Me,Notorious B.I.G.,-0.996,0.154,0.774,0.072
(You To Be) Happy,Notorious B.I.G.,0.995,0.036,0.781,0.183
Creda-Ma,O-Zone,0.0,0.0,1.0,0.0
Ma-Ia-Hii (English Version),O-Zone,0.9962,0.028,0.793,0.178
Nu Ma Las De Limba Noastra,O-Zone,0.0,0.0,1.0,0.0
Numa Numa (English Version),O-Zone,0.9945,0.021,0.827,0.151
Oriunde Ai Fi,O-Zone,0.0,0.0,1.0,0.0
52-50,O.A.R.,0.9965,0.032,0.698,0.271
Any Time Now,O.A.R.,0.9917,0.033,0.818,0.149
City On Down,O.A.R.,0.9844,0.076,0.745,0.179
Coalminer,O.A.R.,-0.9854,0.162,0.794,0.044
Conquering Fools,O.A.R.,-0.9823,0.157,0.788,0.055
Crazy Game Of Poker,O.A.R.,-0.9436,0.092,0.833,0.075
Dakota,O.A.R.,-0.9914,0.166,0.812,0.022
Dangerous Connection,O.A.R.,-0.9326,0.151,0.741,0.108
Dareh Meyod,O.A.R.,0.9508,0.052,0.769,0.179
Delicate Few,O.A.R.,0.9617,0.082,0.774,0.144
Destination,O.A.R.,0.9904,0.027,0.75,0.223
Dinner Last Night,O.A.R.,0.9927,0.0,0.783,0.217
Hold On True,O.A.R.,0.7978,0.074,0.772,0.154
I Feel Home,O.A.R.,0.989,0.042,0.798,0.16
If Only She Knew,O.A.R.,0.9854,0.045,0.725,0.23
James,O.A.R.,0.9439,0.072,0.787,0.141
Ladanday,O.A.R.,-0.7018,0.08,0.857,0.063
Lay Down,O.A.R.,0.982,0.04,0.835,0.124
Living In The End,O.A.R.,-0.867,0.114,0.805,0.081
Love And Memories,O.A.R.,-0.9687,0.194,0.672,0.135
Mr. Moon,O.A.R.,0.9362,0.159,0.613,0.228
Nasim Joon,O.A.R.,0.7184,0.084,0.814,0.102
Night Shift,O.A.R.,0.9165,0.063,0.806,0.131
On My Way,O.A.R.,0.9864,0.065,0.726,0.209
One Day,O.A.R.,-0.9728,0.13,0.836,0.033
One Shot,O.A.R.,-0.7629,0.076,0.887,0.037
Over And Over,O.A.R.,0.9768,0.016,0.846,0.137
Patiently,O.A.R.,0.9808,0.104,0.697,0.198
Peace,O.A.R.,0.9993,0.037,0.524,0.438
Program Director,O.A.R.,-0.312,0.067,0.88,0.053
Ran Away To The Top Of The World,O.A.R.,-0.8189,0.108,0.802,0.09
Redemption Song,O.A.R.,0.9459,0.192,0.571,0.237
Revisited,O.A.R.,0.9489,0.045,0.827,0.128
Right On Time,O.A.R.,0.9947,0.026,0.828,0.146
Risen,O.A.R.,0.5083,0.155,0.674,0.171
Road Outside Columbus,O.A.R.,0.9883,0.029,0.767,0.204
Sail Away,O.A.R.,0.7316,0.054,0.867,0.079
So Good So Far,O.A.R.,0.9708,0.079,0.777,0.144
Sunday Bloody Sunday,O.A.R.,-0.9969,0.302,0.631,0.067
The Architect,O.A.R.,0.5574,0.043,0.906,0.051
The Fallout,O.A.R.,0.9599,0.111,0.732,0.157
The Last Time,O.A.R.,0.9698,0.08,0.79,0.13
The Wanderer,O.A.R.,0.9891,0.088,0.708,0.204
This Town,O.A.R.,0.9635,0.024,0.884,0.092
Tonight,O.A.R.,0.9939,0.092,0.681,0.227
Untitled,O.A.R.,0.9662,0.111,0.722,0.168
A Bell Will Ring,Oasis,0.8563,0.012,0.905,0.083
Ain't Got Nothin',Oasis,0.6015,0.064,0.809,0.128
All You Need Is Love,Oasis,0.9997,0.008,0.439,0.554
Cigarettes And Alcohol,Oasis,0.9606,0.024,0.793,0.183
Cigarettes In Hell,Oasis,-0.9723,0.145,0.839,0.016
Cloudburst,Oasis,0.0,0.0,1.0,0.0
Colour My Life,Oasis,-0.7933,0.072,0.888,0.04
Columbia,Oasis,-0.9492,0.167,0.833,0.0
Day Tripper,Oasis,0.9741,0.033,0.75,0.217
Devils Haircut,Oasis,-0.9674,0.216,0.698,0.086
Flashbax,Oasis,-0.994,0.241,0.656,0.103
Force Of Nature,Oasis,0.9896,0.025,0.817,0.159
Full On,Oasis,0.9776,0.044,0.814,0.142
Gas Panic,Oasis,-0.9637,0.183,0.696,0.121
(Get Off Your) High Horse Lady,Oasis,-0.5859,0.066,0.934,0.0
Heroes,Oasis,0.895,0.026,0.886,0.088
"I Hope, I Think, I Know",Oasis,-0.9161,0.16,0.789,0.051
I'm Only Sleeping,Oasis,0.9069,0.042,0.803,0.155
I'm Outta Time,Oasis,0.8577,0.038,0.886,0.076
It's A Crime,Oasis,0.9878,0.157,0.603,0.24
Keep The Dream Alive,Oasis,0.9896,0.128,0.605,0.267
Life In Vain,Oasis,0.8738,0.062,0.81,0.127
Little By Little,Oasis,0.9274,0.104,0.761,0.135
Little James,Oasis,0.9874,0.0,0.783,0.217
Live Forever,Oasis,-0.4306,0.05,0.864,0.086
Love Me And Leave Me,Oasis,0.9953,0.108,0.588,0.304
Married With Children,Oasis,-0.9857,0.24,0.684,0.075
Morning Glory,Oasis,0.9954,0.0,0.782,0.218
Must Be The Music,Oasis,-0.8797,0.117,0.848,0.035
Rockin' Chair,Oasis,-0.6864,0.132,0.788,0.081
Roll With It,Oasis,0.7552,0.031,0.899,0.07
Setting Sun,Oasis,0.9758,0.067,0.756,0.176
Shakermaker,Oasis,0.8816,0.066,0.789,0.145
Slide Away,Oasis,0.9793,0.0,0.898,0.102
Soldier On,Oasis,0.0258,0.03,0.938,0.031
Solve My Mystery,Oasis,-0.4278,0.1,0.815,0.085
Some Might Say,Oasis,-0.1786,0.07,0.855,0.075
Songbird,Oasis,0.9827,0.011,0.805,0.184
Stand By Me,Oasis,-0.6293,0.044,0.947,0.009
Stay Young,Oasis,0.8741,0.055,0.86,0.085
Stop Crying Your Heart Out,Oasis,-0.9419,0.154,0.757,0.088
Stop The Clocks,Oasis,-0.9745,0.203,0.752,0.046
Strange Thing,Oasis,-0.9409,0.101,0.899,0.0
Street Fighting Man,Oasis,-0.9952,0.323,0.621,0.055
Sunday Morning Call,Oasis,0.254,0.062,0.869,0.07
Supersonic,Oasis,0.9393,0.064,0.806,0.13
Take Me,Oasis,0.6532,0.056,0.842,0.102
Take Me Away,Oasis,0.9446,0.0,0.896,0.104
Talk Tonight,Oasis,0.9856,0.009,0.791,0.2
Thank You For The Good Times,Oasis,0.9936,0.095,0.624,0.282
The Fame,Oasis,-0.9494,0.183,0.676,0.142
The Fever,Oasis,0.875,0.026,0.922,0.052
The Girl In The Dirty Shirt,Oasis,0.7371,0.075,0.815,0.111
The Hindu Times,Oasis,0.9878,0.0,0.84,0.16
The Importance Of Being Idle,Oasis,0.7185,0.063,0.821,0.116
The Masterplan,Oasis,0.9859,0.013,0.808,0.179
The Meaning Of Soul,Oasis,0.9731,0.049,0.802,0.149
The Shock Of The Lighting,Oasis,0.9974,0.03,0.699,0.271
The Turning,Oasis,-0.0172,0.077,0.842,0.081
"They Got Nothing On Me, They Got Nothing On You",Oasis,0.4051,0.076,0.804,0.12
This Guy's In Love With You,Oasis,0.9969,0.017,0.629,0.354
To Be Someone,Oasis,-0.95,0.17,0.728,0.101
To Be Where There's Life,Oasis,-0.264,0.07,0.872,0.059
Tomorrow Never Knows,Oasis,0.127,0.088,0.829,0.084
Trouble,Oasis,-0.9949,0.32,0.62,0.06
Turn Up The Sun,Oasis,0.9836,0.04,0.734,0.226
Underneath The Sky,Oasis,0.8977,0.055,0.84,0.105
Untitled 2,Oasis,0.7684,0.01,0.911,0.08
Up In The Sky,Oasis,-0.8683,0.095,0.839,0.066
Whatever,Oasis,0.9883,0.062,0.723,0.214
Who Put The Weight Of The World On My Shoulders?,Oasis,0.5109,0.114,0.756,0.13
Wonderwall,Oasis,0.8564,0.006,0.951,0.042
Wont Let You Down,Oasis,0.8204,0.069,0.799,0.131
(You've Got) A Heart Of A Star,Oasis,0.7496,0.029,0.925,0.046
You've Got To Hide Your Love Away,Oasis,0.9753,0.083,0.701,0.216
All Up,Ocean Colour Scene,-0.8808,0.093,0.875,0.032
Another Girls Name,Ocean Colour Scene,0.807,0.094,0.791,0.115
Another Time To Stay,Ocean Colour Scene,0.6834,0.14,0.662,0.198
Beautiful Losers,Ocean Colour Scene,0.7327,0.209,0.566,0.226
Besides Yourself,Ocean Colour Scene,0.8718,0.045,0.811,0.144
Can't Get Back To The Baseline,Ocean Colour Scene,0.732,0.048,0.851,0.101
Debris Road,Ocean Colour Scene,-0.9221,0.136,0.812,0.052
Emily Chambers,Ocean Colour Scene,-0.994,0.208,0.703,0.089
Everything Comes At The Right Time,Ocean Colour Scene,0.9753,0.038,0.791,0.17
Expensive Chair - It's A Beautiful Thing B - Side,Ocean Colour Scene,0.8887,0.091,0.766,0.143
Fleeting Mind,Ocean Colour Scene,0.9546,0.106,0.688,0.206
Fly Me - Yesterday Today B - Side,Ocean Colour Scene,-0.4067,0.074,0.892,0.035
For Every Corner,Ocean Colour Scene,-0.9295,0.118,0.845,0.037
Free My Name,Ocean Colour Scene,0.9917,0.039,0.678,0.283
Give Me A Letter,Ocean Colour Scene,0.6476,0.027,0.864,0.109
Going Nowhere For A While,Ocean Colour Scene,0.8126,0.0,0.945,0.055
Golden Gate Bridge,Ocean Colour Scene,0.8857,0.1,0.756,0.144
Half A Dream Away,Ocean Colour Scene,-0.9553,0.189,0.67,0.14
How About You,Ocean Colour Scene,0.9514,0.0,0.908,0.092
Hundred Mile City,Ocean Colour Scene,0.9815,0.007,0.822,0.171
I JUST NEED MYSELF,Ocean Colour Scene,0.943,0.069,0.805,0.126
If I Gave You My Heart,Ocean Colour Scene,0.9948,0.031,0.763,0.205
Is She Coming,Ocean Colour Scene,0.5106,0.022,0.942,0.035
Lining Your Pockets,Ocean Colour Scene,-0.8025,0.115,0.79,0.096
Mechanical Wonder,Ocean Colour Scene,0.824,0.044,0.876,0.081
My Brother Sarah - Sway B - Side,Ocean Colour Scene,0.3797,0.081,0.822,0.096
North Atlantic Drift,Ocean Colour Scene,-0.1235,0.067,0.843,0.09
On And On - Better Day B-side,Ocean Colour Scene,-0.5171,0.045,0.955,0.0
On The Way Home - Travellers Tune B - Side,Ocean Colour Scene,0.9714,0.045,0.751,0.203
One For The Road,Ocean Colour Scene,-0.9948,0.2,0.732,0.068
Penny Pinching Rainy Heaven Days,Ocean Colour Scene,0.936,0.139,0.637,0.224
Second Hand Car,Ocean Colour Scene,0.0994,0.042,0.917,0.04
She's Been Writing,Ocean Colour Scene,-0.8417,0.083,0.893,0.024
So Sad - The Riverboat Song B - Side,Ocean Colour Scene,-0.9969,0.42,0.507,0.073
Song For The Front Row,Ocean Colour Scene,0.932,0.0,0.844,0.156
Song Of A Baker - Originally By The Small Faces,Ocean Colour Scene,0.4118,0.087,0.818,0.095
Start Of The Day,Ocean Colour Scene,0.9332,0.039,0.881,0.08
Step By Step,Ocean Colour Scene,0.7935,0.013,0.89,0.097
Sway,Ocean Colour Scene,-0.5829,0.074,0.832,0.094
Take You Back,Ocean Colour Scene,-0.7993,0.063,0.937,0.0
Tele He's Not Talking,Ocean Colour Scene,-0.1531,0.024,0.96,0.016
The Best Bet On Chinaski - Better Day B - Side,Ocean Colour Scene,0.9901,0.052,0.78,0.168
The Circle,Ocean Colour Scene,0.9633,0.019,0.813,0.168
The Clock Struck 15 Hours Ago,Ocean Colour Scene,-0.7579,0.11,0.84,0.051
The Day We Caught The Train,Ocean Colour Scene,0.9661,0.044,0.841,0.115
The Face Smiles Back Easily - Hundred Mile High City B - Side,Ocean Colour Scene,0.8271,0.056,0.833,0.111
The Inheritors - So Low B - Side,Ocean Colour Scene,-0.7558,0.108,0.824,0.068
The Song Goes On,Ocean Colour Scene,0.6762,0.091,0.795,0.114
All Along,Offspring,-0.7533,0.15,0.785,0.065
All I Want,Offspring,-0.2575,0.153,0.743,0.103
Amazed,Offspring,0.7971,0.172,0.635,0.193
Americana,Offspring,0.9922,0.047,0.648,0.305
Blackball,Offspring,-0.9605,0.167,0.723,0.11
Bloodstains,Offspring,-0.9635,0.268,0.541,0.191
Burn It Up,Offspring,0.9351,0.066,0.777,0.158
Come Out And Play,Offspring,-0.9215,0.111,0.797,0.092
Come Out Swing,Offspring,-0.9497,0.151,0.779,0.069
Coming For You,Offspring,-0.995,0.254,0.68,0.065
Cool To Hate,Offspring,-0.9978,0.378,0.491,0.13
Crossroads,Offspring,0.9834,0.078,0.74,0.182
Cruising California,Offspring,0.9439,0.038,0.887,0.076
Da Hui,Offspring,0.9612,0.042,0.826,0.133
"Dammit, I Changed Again",Offspring,0.5612,0.071,0.828,0.101
Days Go By,Offspring,-0.9815,0.163,0.809,0.028
Defy You,Offspring,0.2187,0.084,0.842,0.073
Dirty Magic,Offspring,-0.9572,0.229,0.644,0.127
Disclaimer,Offspring,-0.4193,0.115,0.794,0.091
Dividing By Zero,Offspring,-0.7506,0.056,0.922,0.022
Don't Pick It Up,Offspring,-0.4831,0.044,0.935,0.021
Elders,Offspring,0.8791,0.104,0.73,0.167
Fix You,Offspring,0.4648,0.145,0.685,0.169
Get It Right,Offspring,0.6799,0.089,0.794,0.117
Gone Away,Offspring,0.8203,0.036,0.832,0.132
Head Around You,Offspring,-0.6727,0.073,0.883,0.044
Hypodermic,Offspring,-0.6853,0.16,0.792,0.048
I Choose,Offspring,0.9868,0.064,0.784,0.152
I Wanna Be Sedated,Offspring,-0.91,0.11,0.836,0.054
I Wanna Secret Family,Offspring,-0.7003,0.079,0.85,0.072
I'll Be Waiting,Offspring,0.9962,0.053,0.726,0.221
It'll Be A Long Time,Offspring,0.8015,0.025,0.866,0.109
Jennifer Lost The War,Offspring,-0.9929,0.253,0.71,0.037
Kick Him When He's Down,Offspring,0.8879,0.117,0.704,0.18
Kill The President,Offspring,-0.9906,0.187,0.772,0.041
Killboy Powerhead,Offspring,0.128,0.077,0.84,0.083
"Kristy, Are You Doing Okay?",Offspring,0.985,0.049,0.788,0.163
Long Way Home,Offspring,-0.8593,0.094,0.867,0.039
Mota,Offspring,-0.9801,0.161,0.766,0.073
No Hero,Offspring,0.5817,0.106,0.769,0.125
Pay The Man,Offspring,-0.6241,0.075,0.886,0.038
Pretty Fly,Offspring,0.6143,0.078,0.847,0.074
Race Against Myself,Offspring,-0.9109,0.138,0.842,0.021
Rise And Fall,Offspring,-0.6355,0.131,0.758,0.111
Secrets From The Underground,Offspring,-0.9574,0.13,0.816,0.053
Takes Me Nowhere,Offspring,-0.3919,0.084,0.85,0.066
The End Of The Line,Offspring,0.4191,0.082,0.812,0.105
The Worst Hangover Ever,Offspring,-0.9951,0.301,0.616,0.083
Want You Bad,Offspring,-0.998,0.408,0.524,0.068
We Are One,Offspring,0.9526,0.078,0.736,0.186
What Happened To You?,Offspring,0.6124,0.038,0.904,0.058
When You're In Prison,Offspring,-0.99,0.242,0.696,0.062
Why Don't Get A Job?,Offspring,0.9929,0.07,0.685,0.245
Ayelet Chen,Ofra Haza,0.0,0.0,1.0,0.0
Bachoshech,Ofra Haza,0.6179,0.0,0.968,0.032
Da'ale Da'ale,Ofra Haza,0.9294,0.024,0.872,0.104
Fatamorgana,Ofra Haza,-0.7694,0.079,0.867,0.054
Galbi,Ofra Haza,0.0,0.0,1.0,0.0
Horashoot - The Bridge,Ofra Haza,0.0,0.0,1.0,0.0
I Want To Fly,Ofra Haza,0.9426,0.018,0.83,0.152
Kol Haklafim,Ofra Haza,0.0,0.0,1.0,0.0
Lady,Ofra Haza,-0.5859,0.034,0.966,0.0
Le'amshich Velitzod,Ofra Haza,0.0,0.0,1.0,0.0
Leorech Hayam,Ofra Haza,0.34,0.0,0.986,0.014
Middle East,Ofra Haza,0.8253,0.093,0.78,0.127
Mm'mma,Ofra Haza,-0.9623,0.21,0.688,0.102
My Aching Heart,Ofra Haza,-0.8226,0.164,0.723,0.113
"Mystery, Fate And Love",Ofra Haza,0.9943,0.032,0.634,0.334
Ode Le'eli,Ofra Haza,0.0,0.0,1.0,0.0
Pgisha Beshesh,Ofra Haza,0.0,0.0,1.0,0.0
River Lullaby,Ofra Haza,0.9731,0.069,0.698,0.232
Show Me,Ofra Haza,-0.2682,0.064,0.901,0.035
Take Me To Paradise,Ofra Haza,0.8993,0.11,0.721,0.169
Temple Of Love (1992),Ofra Haza,0.9991,0.159,0.56,0.28
Trains Of No Return,Ofra Haza,-0.9813,0.168,0.832,0.0
Wish Me Luck,Ofra Haza,0.9883,0.081,0.603,0.316
